圖片轉換日誌 - 2025-09-15 22:32:03
來源: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram
輸出: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram_output
目標最大寬度: 1200px, 目標最大檔案: 500 KB
====================================================================================================
新檔名 (相對路徑)                          | 原始檔名 (相對路徑)                              | 品質       | 最終大小            | 尺寸 (WxH)
202309\002.webp                     | 202309\375501871_1686654131799273_2958276283399626105_n_18232091425239348.heic | 95       | 214.27 KB       | 1200x675
202309\003.webp                     | 202309\375518204_1673683926469718_418017145474086817_n_17972134028537083.heic | 95       | 197.38 KB       | 1200x675
202309\004.webp                     | 202309\375546828_198175439812791_1665311831482419869_n_17862562068003983.heic | 95       | 188.19 KB       | 1200x675
202309\005.webp                     | 202309\375571662_1357300024883148_6301232683850034257_n_17859141035985108.heic | 95       | 81.64 KB        | 1200x675
202309\006.webp                     | 202309\375798624_133277739860354_4088753795518641912_n_18059734147453365.heic | 95       | 105.14 KB       | 1200x675
202309\007.webp                     | 202309\375896932_1404648896747958_7521059619038906490_n_17997595244125178.heic | 95       | 184.19 KB       | 1200x675
202309\008.webp                     | 202309\376205098_294740336507091_1683240863368597519_n_17915568617715219.heic | 95       | 191.19 KB       | 1200x675
202309\009.webp                     | 202309\376244883_6393187314140447_7951985139715557593_n_18000344399021766.heic | 95       | 109.90 KB       | 1200x675
202309\010.webp                     | 202309\376677281_268994612729529_2119316255413293035_n_17905432460829340.heic | 95       | 173.07 KB       | 1200x675
202310\001.webp                     | 202310\391130756_1309593629660940_5461765328775531005_n_18394622926045314.heic | 95       | 193.44 KB       | 1200x675
202312\001.webp                     | 202312\407336696_706986511383833_2077440126531872960_n_18028132966742811.heic | 95       | 127.11 KB       | 1200x675
202312\002.webp                     | 202312\407421358_325744766975521_1590481682024171127_n_18051840484516088.heic | 95       | 166.29 KB       | 1200x675
202312\003.webp                     | 202312\407535018_375323424944920_6959821737785172962_n_17980877828398353.heic | 95       | 145.53 KB       | 1200x675
202312\004.webp                     | 202312\407554443_1981337145570374_1690845106332988204_n_17965083359527534.heic | 95       | 33.93 KB        | 1200x675
202312\005.webp                     | 202312\407618466_316020337922805_9141407279601971268_n_17954856293703474.heic | 95       | 82.42 KB        | 1200x675
202312\006.webp                     | 202312\407687103_871114977995201_1728369505133577516_n_18018308947801285.heic | 95       | 178.86 KB       | 1200x675
202312\007.webp                     | 202312\407715198_310795795250904_9075341579594330444_n_18017734495805049.heic | 95       | 76.67 KB        | 1200x675
202312\008.webp                     | 202312\407934234_1034341377660734_4291035234938251966_n_18019517167933070.heic | 95       | 49.00 KB        | 1200x675
202312\009.webp                     | 202312\408012441_869427907985447_7094192940824791981_n_17908688780857161.heic | 95       | 57.64 KB        | 1200x675
202312\010.webp                     | 202312\408049553_890363036058200_2731116486437495376_n_18029835736688918.heic | 95       | 74.52 KB        | 1200x675
202312\011.webp                     | 202312\414737385_1373182436892231_5466676883583867489_n_18235563154300840.heic | 95       | 144.34 KB       | 1200x675
202401\001.webp                     | 202401\419976749_905935244517057_7260843215925145791_n_18002278874346752.heic | 95       | 140.12 KB       | 1200x675
202401\002.webp                     | 202401\420032602_1125523445493953_8578898825591782311_n_18006315980199489.heic | 95       | 197.25 KB       | 1200x675
202401\003.webp                     | 202401\420095720_400881489128036_5241593572660829913_n_18078915256434801.heic | 95       | 161.23 KB       | 1200x675
202401\004.webp                     | 202401\420106733_1607888596619192_7650588732340447310_n_17907032609822602.heic | 95       | 130.96 KB       | 1200x675
202401\005.webp                     | 202401\420111350_351589261013373_483288588092963139_n_17868557373052129.heic | 95       | 126.50 KB       | 1200x675
202401\006.webp                     | 202401\420138737_894946222331877_1947095146286707397_n_18005761619256456.heic | 95       | 160.71 KB       | 1200x675
202401\007.webp                     | 202401\420144401_1066750174632226_3014168485379789151_n_17997144476407894.heic | 95       | 212.03 KB       | 1200x675
202401\008.webp                     | 202401\420502885_1143099926679133_4530066996836982442_n_18011201231182101.heic | 95       | 213.81 KB       | 1200x675
202401\009.webp                     | 202401\420600905_697949409129600_2786827593921772028_n_17892038888903863.heic | 95       | 35.78 KB        | 1200x675
202401\010.webp                     | 202401\421023029_724147196479102_5128752312932986159_n_18264452446203480.heic | 95       | 76.56 KB        | 1200x675
202402\001.webp                     | 202402\424521397_1284479009608916_1874087534074189700_n_18048524209603437.heic | 95       | 146.90 KB       | 1200x675
202402\002.webp                     | 202402\424785662_938944947822045_2416640440744916000_n_18037871062664755.heic | 95       | 73.83 KB        | 1200x675
202402\003.webp                     | 202402\424907049_710981070841835_7209385424926362542_n_17998446959423540.heic | 95       | 168.73 KB       | 1200x675
202402\004.webp                     | 202402\424914468_933306534812709_252404163811952950_n_17978177495644949.heic | 95       | 84.27 KB        | 1200x675
202402\005.webp                     | 202402\425027702_627648432820074_3284111074699963924_n_17906486420834719.heic | 95       | 190.07 KB       | 1200x675
202402\006.webp                     | 202402\425350294_2076211539410670_7508032818524706216_n_18324415828118671.heic | 95       | 137.03 KB       | 1200x675
202407\001.webp                     | 202407\452041223_1232088857965892_8590736860250831423_n_17993556818674695.heic | 95       | 224.82 KB       | 1200x675
202407\002.webp                     | 202407\452055549_366295273164533_8863274655828226976_n_18014481320238888.heic | 95       | 159.14 KB       | 1200x675
202407\003.webp                     | 202407\452231862_1534484857452464_81718916308094674_n_18000868886448860.heic | 95       | 155.01 KB       | 1200x675
202407\004.webp                     | 202407\452231876_497652995979967_2686324493565648709_n_18231843538263516.heic | 95       | 290.99 KB       | 1200x675
202407\005.webp                     | 202407\452254405_966154565195422_97681637689468133_n_17922699419928355.heic | 95       | 181.24 KB       | 1200x675
202407\006.webp                     | 202407\452255035_1586090468619872_3028998946333411875_n_18065966275583857.heic | 95       | 48.03 KB        | 1200x675
202407\007.webp                     | 202407\452337745_354326717770903_8417939146903610789_n_18025478756224688.heic | 95       | 107.16 KB       | 1200x675
202407\008.webp                     | 202407\452340461_843898693958777_5491198765906126201_n_18008393201333760.heic | 95       | 148.88 KB       | 1200x675
202407\009.webp                     | 202407\452369725_415800784143411_4977104507013513141_n_17872851450133713.heic | 95       | 158.26 KB       | 1200x675
202407\010.webp                     | 202407\452384382_1045842840291318_8726046501290326619_n_17850745713247912.heic | 95       | 86.92 KB        | 1200x675
202504\001.webp                     | 202504\001.webp                          | 95       | 68.39 KB        | 1200x675
202504\002.webp                     | 202504\002.webp                          | 95       | 112.04 KB       | 1200x675
202504\003.webp                     | 202504\003.webp                          | 95       | 192.10 KB       | 1200x675
202504\004.webp                     | 202504\004.webp                          | 95       | 67.61 KB        | 1200x675
202504\005.webp                     | 202504\005.webp                          | 95       | 110.80 KB       | 1200x675
202504\006.webp                     | 202504\006.webp                          | 95       | 101.93 KB       | 1200x675
